fecha,bodega_id,temperatura_c,humedad_pct,ocupacion_pct,alertas_dia,consumo_kwh
2025-09-01,BOG-01,10.6,51,84,6,2079
2025-09-02,BAQ-04,2.4,55,41,1,1272
2025-09-03,CAL-03,9.8,41,73,2,1584
2025-09-04,MED-02,6.7,49,52,4,1386
2025-09-05,BOG-01,5.7,74,73,3,1872
2025-09-06,CAL-03,8.6,56,84,0,2056
2025-09-07,MED-02,8.4,31,62,3,1603
2025-09-08,BAQ-04,12.2,72,85,5,2075
2025-09-09,MED-02,3.7,45,57,2,1575
2025-09-10,CAL-03,6.7,50,70,0,1758
2025-09-11,BOG-01,7.6,55,59,3,1643
2025-09-12,CAL-03,2.5,33,70,0,2157
2025-09-13,BOG-01,11.5,74,66,1,1605
2025-09-14,BAQ-04,13.3,70,36,2,997
2025-09-15,BOG-01,6.1,51,63,2,1712
2025-09-16,CAL-03,9.1,59,61,1,1516
2025-09-17,BAQ-04,7.2,52,93,3,2333
2025-09-18,MED-02,8.8,48,31,1,980
2025-09-19,BAQ-04,6.0,52,69,2,1945
2025-09-20,CAL-03,10.5,38,80,1,1852
2025-09-21,BAQ-04,4.5,50,96,1,2358
2025-09-22,CAL-03,12.1,48,87,1,1978
2025-09-23,BAQ-04,9.1,78,67,1,1733
2025-09-24,BOG-01,15.3,38,90,1,2011
2025-09-25,BOG-01,3.0,70,66,2,1678
2025-09-26,CAL-03,7.7,64,65,1,1609
2025-09-27,CAL-03,4.1,57,63,3,1656
2025-09-28,CAL-03,7.6,48,62,2,1640
2025-09-29,BAQ-04,9.3,77,91,1,2099
2025-09-30,MED-02,5.2,72,44,4,1375
2025-10-01,BAQ-04,3.7,54,45,3,1339
2025-10-02,CAL-03,2.8,53,82,0,2070
2025-10-03,BOG-01,8.7,57,75,1,1839
2025-10-04,BOG-01,11.8,77,80,2,1931
2025-10-05,BAQ-04,11.5,44,64,1,1745
2025-10-06,CAL-03,8.1,56,77,2,1851
2025-10-07,BAQ-04,5.1,69,64,0,1694
2025-10-08,BAQ-04,6.9,38,60,0,1603
2025-10-09,BAQ-04,3.5,54,61,2,1711
2025-10-10,MED-02,3.3,68,69,1,1786
2025-10-11,CAL-03,11.2,50,68,0,1499
2025-10-12,MED-02,7.2,54,61,3,1682
2025-10-13,MED-02,8.9,37,91,6,2279
2025-10-14,BAQ-04,7.2,60,74,2,1956
2025-10-15,BAQ-04,12.0,41,62,2,1615
2025-10-16,CAL-03,12.3,50,48,1,1193
2025-10-17,BOG-01,5.7,59,66,0,1839
2025-10-18,MED-02,6.9,48,43,2,1244
2025-10-19,MED-02,6.0,65,54,1,1531
2025-10-20,CAL-03,12.0,64,50,0,1484
2025-10-21,BAQ-04,11.7,61,54,2,1518
2025-10-22,BOG-01,7.1,67,69,2,1724
2025-10-23,BOG-01,14.9,53,19,7,722
2025-10-24,BOG-01,8.1,29,88,0,2256
2025-10-25,BOG-01,4.4,65,73,0,1971
2025-10-26,BAQ-04,1.9,64,60,2,1681
2025-10-27,MED-02,7.6,49,57,1,1427
2025-10-28,BOG-01,9.0,45,77,3,1858
2025-10-29,BOG-01,6.2,69,64,2,1676
2025-10-30,BOG-01,9.1,49,92,0,2219
2025-10-31,BAQ-04,11.6,50,64,4,1740
2025-11-01,BAQ-04,7.8,50,52,3,1537
2025-11-02,BOG-01,10.5,83,45,3,1125
2025-11-03,BAQ-04,13.0,46,64,3,1568
2025-11-04,BAQ-04,9.5,24,81,3,1926
2025-11-05,BAQ-04,6.3,53,48,4,1338
2025-11-06,BAQ-04,9.3,42,85,1,2108
2025-11-07,BAQ-04,9.6,33,78,2,1921
2025-11-08,BAQ-04,14.4,56,61,2,1426
2025-11-09,BAQ-04,6.7,48,85,1,2224
2025-11-10,MED-02,3.3,64,40,3,1211
2025-11-11,MED-02,8.9,50,33,1,940
2025-11-12,CAL-03,9.0,68,70,1,1726
2025-11-13,BAQ-04,6.8,65,72,1,1988
2025-11-14,CAL-03,9.7,54,72,0,1851
2025-11-15,BOG-01,9.0,63,65,0,1608
2025-11-16,BOG-01,11.6,75,44,1,1233
2025-11-17,BAQ-04,5.5,62,74,2,1833
2025-11-18,MED-02,5.9,37,61,1,1711
2025-11-19,CAL-03,7.9,55,79,2,2002
2025-11-20,MED-02,6.5,56,69,0,1590
2025-11-21,BOG-01,11.8,68,49,0,1313
2025-11-22,BAQ-04,9.7,52,75,1,1952
2025-11-23,BOG-01,7.9,67,78,2,1836
2025-11-24,BAQ-04,12.6,52,78,3,1891
2025-11-25,BOG-01,9.5,54,56,2,1451
2025-11-26,BOG-01,11.0,51,51,0,1388
2025-11-27,BAQ-04,10.4,54,78,1,1788
2025-11-28,BOG-01,7.6,52,65,3,1778
2025-11-29,CAL-03,7.6,58,64,4,1671
2025-11-30,BAQ-04,8.0,44,81,2,2126
2025-12-01,MED-02,4.7,41,82,3,2155
2025-12-02,BOG-01,7.0,52,74,3,1869
2025-12-03,CAL-03,10.6,55,63,0,1504
2025-12-04,CAL-03,8.9,49,89,2,2108
2025-12-05,CAL-03,5.2,58,51,2,1564
2025-12-06,BAQ-04,15.1,57,66,1,1679
2025-12-07,CAL-03,4.9,73,71,1,1882
2025-12-08,MED-02,9.9,36,46,2,1322
2025-12-09,BAQ-04,10.2,77,56,4,1488
2025-12-10,CAL-03,11.8,25,79,3,1874
2025-12-11,BAQ-04,5.4,32,65,1,1702
2025-12-12,BOG-01,8.1,56,50,2,1364
2025-12-13,MED-02,7.4,42,91,3,2170
2025-12-14,CAL-03,11.4,49,69,0,1726
2025-12-15,BOG-01,9.2,47,68,0,1890
2025-12-16,CAL-03,9.3,37,94,0,2088
2025-12-17,BOG-01,9.7,36,44,3,1302
2025-12-18,MED-02,13.9,48,58,1,1460
2025-12-19,BOG-01,10.1,57,53,1,1320
2025-12-20,BAQ-04,10.7,60,86,2,2102
2025-12-21,BAQ-04,5.3,54,54,3,1702
2025-12-22,BAQ-04,10.2,49,100,0,2232
2025-12-23,BAQ-04,4.4,67,74,0,1923
2025-12-24,BOG-01,10.9,26,71,5,1697
2025-12-25,BOG-01,8.6,53,81,1,2086
2025-12-26,MED-02,5.5,68,63,1,1728
2025-12-27,BAQ-04,4.7,72,53,1,1506
2025-12-28,BAQ-04,7.9,67,58,2,1541
2025-12-29,MED-02,8.5,68,67,4,1817
2025-12-30,BAQ-04,6.5,65,52,3,1549
2025-12-31,MED-02,7.2,54,69,2,1707
2026-01-01,CAL-03,7.3,26,57,3,1428
2026-01-02,CAL-03,6.6,47,63,4,1676
2026-01-03,BAQ-04,7.6,49,65,0,1756
2026-01-04,BAQ-04,9.0,71,90,0,2151
2026-01-05,MED-02,12.1,48,100,4,2486
2026-01-06,BAQ-04,10.1,49,95,3,2275
2026-01-07,BOG-01,6.5,61,66,3,1715
2026-01-08,BOG-01,13.1,41,58,2,1510
2026-01-09,BOG-01,11.8,53,85,2,1935
2026-01-10,BAQ-04,7.5,59,89,0,2096
2026-01-11,BAQ-04,11.3,49,83,2,1976
2026-01-12,BOG-01,6.7,52,61,2,1588
2026-01-13,MED-02,6.0,32,74,1,2034
2026-01-14,BAQ-04,6.1,38,66,3,1834
2026-01-15,CAL-03,13.2,50,85,2,2044
2026-01-16,CAL-03,8.7,66,84,2,2039
2026-01-17,BOG-01,9.3,46,73,4,1943
2026-01-18,BOG-01,8.5,42,64,0,1754
2026-01-19,MED-02,7.1,43,96,0,2293
2026-01-20,BOG-01,9.8,61,73,2,1720
2026-01-21,BAQ-04,10.4,36,83,2,2053
2026-01-22,BAQ-04,14.2,55,79,1,1859
2026-01-23,MED-02,5.8,48,82,4,2050
2026-01-24,BOG-01,13.0,54,88,1,2072
2026-01-25,BAQ-04,10.4,44,65,0,1723
2026-01-26,BOG-01,3.2,54,64,3,1738
2026-01-27,BAQ-04,11.3,69,80,0,1921
2026-01-28,BAQ-04,13.2,49,23,0,718
2026-01-29,BOG-01,11.7,47,70,2,1679
2026-01-30,CAL-03,9.2,22,64,3,1584
2026-01-31,BAQ-04,8.9,59,82,3,2083
2026-02-01,CAL-03,2.5,45,76,3,2012
2026-02-02,BAQ-04,9.4,57,68,3,1706
2026-02-03,MED-02,9.0,54,53,4,1431
2026-02-04,MED-02,5.6,43,68,0,1806
2026-02-05,CAL-03,9.0,45,66,1,1742
2026-02-06,BOG-01,6.4,37,72,2,1865
2026-02-07,MED-02,15.2,77,74,1,1773
2026-02-08,MED-02,4.7,64,60,1,1676
2026-02-09,BOG-01,5.7,63,78,5,1950
2026-02-10,MED-02,1.9,67,63,2,1625
2026-02-11,BOG-01,7.1,70,77,2,2114
2026-02-12,CAL-03,8.7,63,75,5,1956
2026-02-13,MED-02,8.3,65,89,3,2292
2026-02-14,BOG-01,6.4,83,70,1,1731
2026-02-15,MED-02,10.9,33,94,5,2270
2026-02-16,BOG-01,9.0,56,65,2,1795
2026-02-17,MED-02,11.8,46,57,1,1602
2026-02-18,BOG-01,7.9,54,80,0,2015
2026-02-19,CAL-03,3.0,24,52,1,1593
2026-02-20,BOG-01,7.8,41,76,1,1931
2026-02-21,BAQ-04,5.2,63,76,2,1882
2026-02-22,BAQ-04,10.7,39,73,3,1730
2026-02-23,BAQ-04,6.4,60,76,1,1812
2026-02-24,BAQ-04,7.5,44,73,1,1804
2026-02-25,MED-02,8.1,52,89,1,2254
2026-02-26,BOG-01,3.6,36,69,1,1808
2026-02-27,MED-02,7.0,47,41,3,1394
2026-02-28,BOG-01,10.8,36,65,1,1736
2026-03-01,BOG-01,6.4,60,83,3,2156
2026-03-02,MED-02,7.6,33,85,5,2054
2026-03-03,MED-02,8.6,58,81,5,2020
2026-03-04,BOG-01,6.1,48,71,2,1909
2026-03-05,BAQ-04,7.2,52,57,1,1475
2026-03-06,MED-02,9.4,71,94,4,2343
2026-03-07,MED-02,6.9,51,62,3,1755
2026-03-08,MED-02,8.2,47,54,1,1511
2026-03-09,MED-02,7.6,55,34,3,979
2026-03-10,BOG-01,4.9,63,99,0,2435
2026-03-11,BOG-01,4.2,48,70,2,1759
2026-03-12,BOG-01,14.0,75,43,3,1297
2026-03-13,CAL-03,12.2,57,83,1,1939
2026-03-14,BOG-01,7.7,50,80,2,1958
2026-03-15,CAL-03,10.9,47,45,3,1268
2026-03-16,BOG-01,11.4,53,82,1,1934
2026-03-17,BOG-01,10.9,62,70,2,1824
2026-03-18,CAL-03,7.0,67,80,2,2038
2026-03-19,BOG-01,3.8,56,91,1,2423
2026-03-20,MED-02,4.3,48,64,1,1604
2026-03-21,BOG-01,7.3,54,100,2,2410
2026-03-22,MED-02,12.1,30,68,1,1715
2026-03-23,BOG-01,12.7,68,61,1,1525
2026-03-24,BAQ-04,7.3,65,88,3,2076
2026-03-25,MED-02,7.1,53,60,0,1495
2026-03-26,MED-02,11.7,64,65,2,1672
2026-03-27,BOG-01,14.2,44,82,3,1892
2026-03-28,MED-02,5.3,77,56,1,1399
2026-03-29,BAQ-04,9.5,54,49,5,1273
2026-03-30,MED-02,8.5,51,74,1,1876
2026-03-31,CAL-03,7.1,81,69,9,1885
2026-04-01,BOG-01,7.1,46,61,2,1620
2026-04-02,BOG-01,7.1,63,83,4,2137
2026-04-03,MED-02,8.1,48,51,3,1427
2026-04-04,CAL-03,3.5,51,80,4,2098
2026-04-05,MED-02,8.1,55,53,2,1350
2026-04-06,MED-02,10.4,51,76,0,1803
2026-04-07,CAL-03,10.3,76,50,1,1417
2026-04-08,BOG-01,10.5,71,78,2,1939
2026-04-09,BAQ-04,9.1,52,67,1,1757
2026-04-10,MED-02,8.7,87,62,1,1698
2026-04-11,MED-02,13.9,58,69,2,1490
2026-04-12,CAL-03,7.6,56,66,2,1772
2026-04-13,BOG-01,8.6,63,80,3,2051
2026-04-14,BOG-01,11.8,46,58,2,1509
2026-04-15,BAQ-04,8.2,74,74,3,1903
2026-04-16,BAQ-04,4.2,47,63,4,1634
2026-04-17,BOG-01,6.4,43,58,0,1612
2026-04-18,MED-02,6.8,71,60,1,1646
2026-04-19,BAQ-04,7.6,47,51,2,1440
2026-04-20,BOG-01,6.7,55,72,2,1916
2026-04-21,MED-02,11.1,43,69,2,1850
